2015-05-10,108.74
2015-05-11,110.66
2015-05-12,112.64
2015-05-13,112.94
2015-05-14,116.9
2015-05-15,112.34
2015-05-16,112.52
2015-05-17,113.48
2015-05-18,112.94
2015-05-19,112.52
2015-05-20,114.8
2015-05-21,115.04
2015-05-22,114.98
2015-05-23,116.66
2015-05-24,115.46
2015-05-25,115.58
2015-05-26,115.88
2015-05-27,118.16
2015-05-28,123.37
2015-05-29,124.39
2015-05-30,126.01
2015-05-31,127.33
2015-06-01,123.49
2015-06-02,121.28
2015-06-03,122.6
2015-06-04,121.64
2015-06-05,121.76
2015-06-06,121.46
2015-06-07,124.51
2015-06-08,127.93
2015-06-09,131.47
2015-06-10,131.41
2015-06-11,135.13
2015-06-12,133.33
2015-06-13,128.29
2015-06-14,129.01
2015-06-15,129.07
2015-06-16,136.21
2015-06-17,132.61
2015-06-18,129.37
2015-06-19,133.81
2015-06-20,137.71
2015-06-21,132.49
2015-06-22,132.73
2015-06-23,128.71
2015-06-24,127.81
2015-06-25,126.97
2015-06-26,126.19
2015-06-27,128.05
2015-06-28,129.97
2015-06-29,131.95
2015-06-30,130.51
2015-07-01,130.39
2015-07-02,131.35
2015-07-03,133.03
2015-07-04,129.31
2015-07-05,129.55
2015-07-06,128.53
2015-07-07,126.73
2015-07-08,123.91
2015-07-09,124.87
2015-07-10,125.71
2015-07-11,122.18
2015-07-12,122.06
2015-07-13,119.42
2015-07-14,121.82
2015-07-15,121.46
2015-07-16,124.63
2015-07-17,122.6
2015-07-18,123.19
2015-07-19,123.73
2015-07-20,120.62
2015-07-21,116.6
2015-07-22,119.24
2015-07-23,119.3
2015-07-24,117.08
2015-07-25,117.2
2015-07-26,116.6
2015-07-27,118.52
2015-07-28,116.12
2015-07-29,117.68
2015-07-30,116.78
2015-07-31,120.92
2015-08-01,127.39
2015-08-02,127.81
2015-08-03,118.94
2015-08-04,118.28
2015-08-05,119.24
2015-08-06,125.29
2015-08-07,123.31
2015-08-08,124.15
2015-08-09,125.47
2015-08-10,126.01
2015-08-11,125.89
2015-08-12,123.43
2015-08-13,123.55
2015-08-14,121.82
2015-08-15,121.82
2015-08-16,124.33
2015-08-17,124.69
2015-08-18,126.19
2015-08-19,126.13
2015-08-20,124.87
2015-08-21,123.25
2015-08-22,122.72
2015-08-23,123.13
2015-08-24,122.84
2015-08-25,123.55
2015-08-26,123.91
2015-08-27,124.45
2015-08-28,123.97
2015-08-29,124.51
2015-08-30,124.87
2015-08-31,125.83
2015-09-01,126.55
2015-09-02,124.39
2015-09-03,124.63
2015-09-04,124.27
2015-09-05,124.51
2015-09-06,124.09
2015-09-07,125.83
2015-09-08,125.59
2015-09-09,125.47
2015-09-10,123.49
2015-09-11,122.18
2015-09-12,122
2015-09-13,121.82
2015-09-14,121.58
2015-09-15,120.56
2015-09-16,120.86
2015-09-17,120.62
2015-09-18,122.48
2015-09-19,121.22
2015-09-20,121.82
2015-09-21,122.42
2015-09-22,122.42
2015-09-23,123.13
2015-09-24,123.31
2015-09-25,123.55
2015-09-26,124.81
2015-09-27,126.85
2015-09-28,126.25
2015-09-29,125.23
2015-09-30,125.17
2015-10-01,125.23
2015-10-02,125.23
2015-10-03,125.05
2015-10-04,123.79
2015-10-05,123.85
2015-10-06,123.55
2015-10-07,123.91
2015-10-08,123.73
2015-10-09,124.21
2015-10-10,123.79
2015-10-11,124.45
2015-10-12,123.96
2015-10-13,121.05
2015-10-14,121.25
2015-10-15,121.05
2015-10-16,122.51
2015-10-17,122.97
2015-10-18,125.28
2015-10-19,125.34
2015-10-20,124.42
2015-10-21,123.43
2015-10-22,122.97
2015-10-23,122.18
2015-10-24,122.04
2015-10-25,123.43
2015-10-26,124.42
2015-10-27,123.82
2015-10-28,123.89
2015-10-29,124.29
2015-10-30,124.02
2015-10-31,124.15
2015-11-01,124.68
2015-11-02,123.36
2015-11-03,123.76
2015-11-04,124.09
2015-11-05,124.95
2015-11-06,123.69
2015-11-07,123.82
2015-11-08,124.48
2015-11-09,124.15
2015-11-10,123.63
2015-11-11,123.1
2015-11-12,124.02
2015-11-13,124.09
2015-11-14,124.42
2015-11-15,124.68
2015-11-16,126.27
2015-11-17,128.18
2015-11-18,132.01
2015-11-19,130.42
2015-11-20,130.03
2015-11-21,128.71
2015-11-22,128.57
2015-11-23,128.51
2015-11-24,128.44
2015-11-25,128.38
2015-11-26,128.05
2015-11-27,128.05
2015-11-28,127.32
2015-11-29,128.44
2015-11-30,128.97
2015-12-01,128.51
2015-12-02,128.97
2015-12-03,129.04
2015-12-04,128.51
2015-12-05,128.97
2015-12-06,129.76
2015-12-07,129.5
2015-12-08,128.44
2015-12-09,128.77
2015-12-10,128.44
2015-12-11,128.84
2015-12-12,128.84
2015-12-13,128.77
2015-12-14,129.3
2015-12-15,128.97
2015-12-16,128.97
2015-12-17,128.97
2015-12-18,128.97
2015-12-19,129.1
2015-12-20,129.04
2015-12-21,129.43
2015-12-22,129.56
2015-12-23,129.17
2015-12-24,128.64
2015-12-25,128.84
2015-12-26,127.59
2015-12-27,128.05
2015-12-28,127.59
2015-12-29,127.72
2015-12-30,127.78
2015-12-31,128.9
2016-01-01,128.57
2016-01-02,127.92
2016-01-03,127.06
2016-01-04,127.72
2016-01-05,127.59
2016-01-06,127.78
2016-01-07,127.12
2016-01-08,128.11
2016-01-09,128.44
2016-01-10,128.57
2016-01-11,128.9
2016-01-12,128.84
2016-01-13,129.56
2016-01-14,129.7
2016-01-15,129.76
2016-01-16,129.7
2016-01-17,129.76
2016-01-18,129.76
2016-01-19,129.76
2016-01-20,130.03
2016-01-21,130.29
2016-01-22,131.94
2016-01-23,131.68
2016-01-24,133
2016-01-25,133.79
2016-01-26,134.12
2016-01-27,133.46
2016-01-28,133.39
2016-01-29,133.06
2016-01-30,134.38
2016-01-31,133.85
2016-02-01,132.86
2016-02-02,133.33
2016-02-03,134.64
2016-02-04,135.63
2016-02-05,133.52
2016-02-06,133.59
2016-02-07,130.42
2016-02-08,130.16
2016-02-09,129.23
2016-02-10,127.65
2016-02-11,127.92
2016-02-12,127.06
2016-02-13,127.06
2016-02-14,127.45
2016-02-15,126.73
2016-02-16,126.4
2016-02-17,126.27
2016-02-18,127.19
2016-02-19,127.78
2016-02-20,127.98
2016-02-21,127.78
